Strategic_Base_Camp,County,Pop_Range,Impact_Score,Strategic_Town_Latitude,Strategic_Town_Longitude,National_Hub_Rank
Loiyangalani,Marsabit,10k - 100k people,2610.0,2.757679686059353,36.71865800389673,1
Kutulo,Wajir,10k - 100k people,1850.0,2.407899190111353,40.5948212030432,2
Baragoi,Samburu,10k - 100k people,1530.0,1.7832999889798353,36.78330000317506,3
Ibrahim Ure,Wajir,10k - 100k people,1240.0,1.5793253924477333,40.61329800238411,4
Kalokol,Turkana,10k - 100k people,1060.0,3.5327416829704443,35.857023404561794,5
Lorugum,Turkana,10k - 100k people,900.0,2.887891484590437,35.263784604141364,6
Lagboqol,Wajir,10k - 100k people,720.0,1.2884742926247785,39.83857730231145,7
Kapsowar,Elgeyo-Marakwet,10k - 100k people,690.0,0.9801029903302483,35.56027000277197,8
Suswa,Narok,10k - 100k people,480.0,-1.0494935041777234,36.33349040130597,9
Ekona,Kisii,10k - 100k people,420.0,-0.9359406055063159,34.67085400164403,10
Beled Hawa بولاهاوا,Other / Border,100k - 5M+ people,400.0,3.9276099865260115,41.87417900407488,11
Masii,Machakos,10k - 100k people,360.0,-1.460800002556962,37.439190000832895,12
Tuli,Mandera,500 - 10k people,307.0,2.976384388642398,40.85800990345648,13
Yaa Sharbana,Marsabit,500 - 10k people,287.0,3.514342484246807,37.460459804386225,14
Sirisia,Bungoma,10k - 100k people,270.0,0.7568375902106381,34.504286402751035,15
Kumpa,Kajiado,10k - 100k people,270.0,-1.9770107019179406,36.791565700626805,16
Afalo,Mandera,500 - 10k people,261.0,3.4623002866241723,40.2297837039634,17
Bukura,Kakamega,10k - 100k people,260.0,0.22090919167304687,34.61407950238766,18
Kambiti Town,Murang'a,10k - 100k people,240.0,-0.8304827040679105,37.231188301289535,19
Karurumo,Embu,10k - 100k people,230.0,-0.4730690045957634,37.65078600145325,20
Natoo,Turkana,500 - 10k people,229.0,4.214190280629068,35.76386050508311,21
Dardesa,Garissa,500 - 10k people,229.0,-0.9300630012679906,40.89804400043754,22
Kibingoti Town,Kirinyaga,10k - 100k people,200.0,-0.5634146047052911,37.187603701476355,23
Nairibi,Marsabit,500 - 10k people,182.0,1.5478265903261275,37.72096050286959,24
Eldere,Isiolo,500 - 10k people,173.0,0.5962879936666599,38.8398022019856,25
Lomerimudang,Turkana,500 - 10k people,163.0,2.0784552871533317,35.424460903548955,26
Turbi,Marsabit,500 - 10k people,158.0,3.300220585643873,38.37684450410561,27
,Kitui,500 - 10k people,155.0,-0.7767442031483588,38.739501701031365,28
Machine Ben,Wajir,500 - 10k people,155.0,2.4407874894878403,39.93622320318772,29
Yabicho,Mandera,500 - 10k people,153.0,3.9386584858846545,41.166918704208,30
Suneka,Kisii,10k - 100k people,130.0,-0.6786512060766828,34.70777590180005,31
,Turkana,500 - 10k people,123.0,4.155442279839966,34.42794010512303,32
Sosian Shopping Centre,Laikipia,500 - 10k people,112.0,0.43263609253510477,36.681535502238425,33
Meru,Meru,100k - 5M+ people,100.0,0.04997859416316967,37.65000630181341,34
Nakuru,Nakuru,100k - 5M+ people,100.0,-0.280272406125492,36.07120480185292,35
Kitui,Kitui,100k - 5M+ people,100.0,-1.3666000023683385,38.01660000077926,36
Adadijole,Wajir,500 - 10k people,97.0,3.337094286391565,39.46111560398117,37
Kisou,Kitui,500 - 10k people,94.0,-2.0955076007300377,38.25242470024803,38
Saadani,Lamu,500 - 10k people,87.0,-1.949999999038256,41.133299999653936,39
Makini,Tana River,500 - 10k people,84.0,-1.1669492015176364,39.85312310051655,40
Welari,Wajir,500 - 10k people,83.0,0.3622779955059049,40.52615050147233,41
Chepnyalilo,Nakuru,500 - 10k people,77.0,-0.5871714056907261,35.6331620017206,42
Ramada,Kilifi,500 - 10k people,74.0,-2.8832999980924248,40.033299999305186,43
Kotile,Garissa,500 - 10k people,71.0,-1.9638241996603198,40.20746129988009,44
Kapyoyon,Other / Border,500 - 10k people,70.0,1.2309929891076996,34.77018450303658,45
Dulukiza,Kilifi,500 - 10k people,69.0,-3.383299997508335,39.63329999908244,46
Mwandimu,Kwale,500 - 10k people,67.0,-4.166599996663173,39.016599998748866,47
Ol Girra,Kajiado,500 - 10k people,67.0,-3.1107723991596723,37.77392489970652,48
Salambaki,Busia,500 - 10k people,66.0,0.07735619162970307,33.989916902372165,49
Angoro Ponge,Kisumu,500 - 10k people,62.0,-0.12920570713010415,35.10883500209476,50
